Date,Open,High,Low,Close,Adj Close,Volume
2024-10-09,21608.07,21706.82,21508.33,21596.23,21585.86,1889097
2024-10-10,21734.36,21807.2,21626.56,21710.09,21708.38,2678237
2024-10-11,22039.37,22101.71,22006.16,22043.47,22041.61,2229720
2024-10-14,22147.69,22301.28,22122.31,22263.43,22256.39,2859582
2024-10-15,22034.27,22117.52,21870.73,21940.91,21937.02,2969510
2024-10-16,21976.87,22082.81,21883.23,22011.18,22005.63,1250195
2024-10-17,21939.78,21964.41,21799.03,21859.14,21867.9,2192324
2024-10-18,21704.3,21796.28,21619.25,21680.7,21685.38,2452608
2024-10-21,21856.03,21994.51,21820.83,21910.48,21916.84,1032733
2024-10-22,21907.87,22006.57,21828.62,21911.09,21914.69,2789616
2024-10-23,22211.42,22286.74,22130.7,22157.54,22151.89,1526338
2024-10-24,22068.72,22133.93,21993.83,22032.96,22030.34,1109996
2024-10-25,21647.39,21729.01,21599.1,21681.37,21683.82,1558221
2024-10-28,22064.82,22158.76,21972.61,22028.3,22022.19,1549239
2024-10-29,21922.98,22021.75,21891.17,21933.81,21937.37,1556701
2024-10-30,21864.62,21880.96,21844.28,21866.89,21865.69,2214449
2024-10-31,22122.34,22134.71,22024.8,22089.76,22087.88,2759555
2024-11-01,22206.2,22357.28,22170.22,22313.4,22316.95,1950417
2024-11-04,22186.26,22300.9,22123.94,22217.95,22220.17,1899005
2024-11-05,21832.16,21931.01,21707.01,21730.9,21729.09,2036580
2024-11-06,21938.16,21971.02,21884.85,21947.48,21953.28,1433816
2024-11-07,22066.25,22129.72,21975.23,22033.16,22027.76,2761711
2024-11-08,22195.11,22282.01,22180.44,22237.73,22240.81,2270464
2024-11-11,21904.17,22001.46,21824.24,21864.54,21867.5,1785332
2024-11-12,21962.87,22048.66,21935.03,21957.13,21955.58,2794029
2024-11-13,21778.73,21889.43,21763.03,21803.98,21805.61,1767950
2024-11-14,21760.76,21856.23,21661.66,21804.05,21797.79,1166472
2024-11-15,22162.51,22209.84,22063.48,22102.49,22107.11,1397710
2024-11-18,22271.25,22305.85,22171.63,22254.52,22253.6,1211760
2024-11-19,21985.6,22000.67,21928.93,21961.85,21959.24,1122744
2024-11-20,22200.71,22288.53,22096.7,22168.04,22173.29,2924439
2024-11-21,22072.33,22243.76,21993.91,22160.6,22157.08,2778627
2024-11-22,21870.98,21991.2,21807.37,21891.23,21884.18,2550522
2024-11-25,22072.28,22171.98,21956.79,22009.23,22001.45,2091577
2024-11-26,22307.61,22413.49,22260.54,22353.5,22356.53,1591652
2024-11-27,21992.83,22178.15,21951.44,22098.94,22092.54,1911420
2024-11-28,22312.93,22459.58,22219.27,22364.55,22373.33,1831460
2024-11-29,21476.05,21562.52,21315.33,21400.08,21389.67,1238506
2024-12-02,22164.38,22196.64,22043.32,22140.17,22148.65,1753019
2024-12-03,22017.41,22131.3,21996.22,22080.75,22081.81,1430789
2024-12-04,21940.2,21961.82,21829.04,21904.82,21904.33,2704742
2024-12-05,22018.35,22136.41,21923.9,22040.54,22037.82,1910775
2024-12-06,21602.49,21705.77,21576.18,21641.22,21643.21,2760574
2024-12-09,21956.07,21986.64,21893.73,21909.72,21909.53,2701165
2024-12-10,22071.42,22141.88,21991.75,22068.45,22073.96,1912727
2024-12-11,22295.58,22361.21,22071.81,22133.52,22134.09,1499722
2024-12-12,21896.35,21938.58,21759.36,21845.13,21845.88,2733693
2024-12-13,21838.3,21858.52,21803.09,21825.67,21823.85,1558924
2024-12-16,21899.65,21970.09,21755.69,21837.26,21836.97,2784033
2024-12-17,22183.08,22321.53,22154.93,22264.7,22266.24,1179352
2024-12-18,22065.75,22145.26,21969.51,21994.24,21985.69,1810694
2024-12-19,21894.05,21950.86,21847.26,21872.05,21865.3,2915443
2024-12-20,22102.65,22195.89,22019.34,22109.19,22112.91,1193283
2024-12-23,22019.42,22151.15,21949.55,22091.48,22092.33,1972346
2024-12-24,22193.73,22254.21,22064.86,22121.94,22121.02,1915015
2024-12-25,21859.59,22006.65,21817.29,21917.75,21917.84,2498771
2024-12-26,21934.47,21981.29,21845.52,21934.98,21936.72,2818460
2024-12-27,21921.58,21943.64,21827.18,21872.5,21869.8,1998974
2024-12-30,21707.3,21742.99,21623.8,21730.4,21726.51,1431413
2024-12-31,22059.22,22147.14,22009.7,22069.18,22070.16,2352564
2025-01-01,22052.21,22118.04,21978.28,22022.2,22017.31,1326898
2025-01-02,22001.02,22077.88,21949.38,22004.51,22006.55,1951661
2025-01-03,21953.08,21982.25,21896.69,21933.82,21925.3,1863561
2025-01-06,21716.93,21744.88,21639.64,21722.6,21727.75,1302186
2025-01-07,21915.87,21960.29,21860.63,21948.98,21951.34,2110241
2025-01-08,21931.46,22052.31,21900.56,22010.76,22012.04,2295160
2025-01-09,21839.54,21902.64,21686.69,21777.65,21782.57,2165529
2025-01-10,21967.74,22119.7,21923.19,22074.39,22082.72,1476072
2025-01-13,22080.81,22130.18,21924.29,21983.21,21988.28,2731312
2025-01-14,22377.24,22468.61,22278.07,22369.65,22360.44,2026553
2025-01-15,22034.92,22105.67,21968.73,22064.33,22057.93,2235202
2025-01-16,22051.51,22121.82,22030.99,22065.56,22062.44,1145271
2025-01-17,21985.11,22065.64,21859.39,21953.98,21954.11,1118533
2025-01-20,21616.25,21661.93,21539.35,21605.84,21608.43,1968452
2025-01-21,21994.7,22060.69,21929.91,21970.05,21966.42,2646645
2025-01-22,22012.05,22099.66,21960.04,21982.58,21983.51,2514542
2025-01-23,22492.65,22630.59,22411.19,22535.13,22531.35,1066262
2025-01-24,21961.53,22002.62,21895.72,21979.38,21976.32,1833032
2025-01-27,22060.31,22153.7,21967.65,22025.66,22018.63,1076898
2025-01-28,21993.06,22092.33,21902.61,22038.04,22033.42,1455699
2025-01-29,21766.26,21814.87,21685.29,21781.63,21774.87,2197945
2025-01-30,22228.56,22320.53,22204.91,22269.21,22264.33,1554736
2025-01-31,22150.39,22280.07,22112.33,22181.87,22187.14,1288316
2025-02-03,22158.21,22212.54,22084.39,22116.76,22112.01,2056233
2025-02-04,21818.12,21857.71,21713.16,21790.11,21803.28,1477602
2025-02-05,22280.56,22384.93,22267.54,22317.92,22320.39,2829553
2025-02-06,21719.63,21781.76,21658.34,21750.15,21751.07,2991505
2025-02-07,22117.37,22134.2,22037.71,22116.33,22112.03,1944189
2025-02-10,22438.09,22465.56,22349.18,22443.96,22447.46,2039504
2025-02-11,21801.89,21887.3,21761.11,21865.78,21862.9,1374999
2025-02-12,21886.74,21910.41,21773.25,21857.16,21857.77,2990658
2025-02-13,22019.93,22069.78,21999.97,22047.29,22060.09,2732767
2025-02-14,21899.3,21966.98,21803.01,21889.2,21888.71,1007906
2025-02-17,21689.87,21716.24,21657.51,21678.98,21684.73,2372133
2025-02-18,22013.71,22109.76,21967.96,22068.65,22065.14,2626892
2025-02-19,21787.54,21919.52,21705.78,21828.81,21828.64,1793719
2025-02-20,22094.72,22188.05,22071.23,22135.39,22144.25,2344380
2025-02-21,21816.12,21951.47,21785.48,21881.39,21878.25,2517550
2025-02-24,22309.99,22336.55,22234.98,22311.04,22320.1,1846936
2025-02-25,21843.35,21904.75,21768.55,21877.45,21880.99,1715080
2025-02-26,21935.59,21949.27,21852.37,21920.07,21917.26,2675843
2025-02-27,22162.7,22204.12,22090.25,22178.91,22182.07,1034701
2025-02-28,21753.83,21788.9,21688.47,21747.32,21752.18,2131876
2025-03-03,22045.49,22076.27,22012.83,22050.34,22053.45,1765537
2025-03-04,22261.43,22309.17,22220.32,22291.19,22283.34,2721610
2025-03-05,21678.5,21699.36,21611.25,21637.59,21633.96,1083560
2025-03-06,22036.93,22193.02,21945.17,22141.55,22140.31,1242615
2025-03-07,22051.98,22080.55,21939.17,22001.68,22001.3,2989954
2025-03-10,22156.36,22199.15,22049.58,22095.66,22098.76,1043642
2025-03-11,21752.61,21865.82,21701.03,21810.52,21811.4,1517083
2025-03-12,21735.91,21847.63,21640.65,21775.49,21768.82,1491036
2025-03-13,22104.39,22149.13,22080.59,22135.59,22137.5,1327304
2025-03-14,22059.4,22172.76,21996.64,22090.81,22093.87,2852610
2025-03-17,22050.1,22116.61,21993.96,22049.49,22052.29,1365464
2025-03-18,22069.29,22086.65,21959.4,22024.43,22029.83,1613089
2025-03-19,21864.0,21956.41,21852.37,21867.79,21871.95,2336651
2025-03-20,22046.45,22139.33,21924.1,22012.59,22014.89,2142953
2025-03-21,22058.61,22122.87,21964.72,22107.37,22107.02,2864200
2025-03-24,21857.13,21892.05,21788.91,21849.78,21841.47,2881550
2025-03-25,22373.15,22455.71,22259.18,22331.88,22334.03,2962023
2025-03-26,22094.77,22172.11,21985.67,22078.7,22079.74,2877528
2025-03-27,21761.74,21808.99,21688.09,21782.39,21783.74,1326916
2025-03-28,22131.31,22160.15,22079.4,22103.12,22096.74,2500554
2025-03-31,21805.06,21848.41,21702.09,21763.95,21758.55,1312250
2025-04-01,22157.42,22223.21,22092.81,22169.6,22174.87,1605409
2025-04-02,22231.72,22309.61,22183.55,22243.97,22243.77,2074135
2025-04-03,21835.86,21879.07,21734.24,21810.52,21813.92,1892027
2025-04-04,22192.68,22244.3,22075.03,22169.12,22169.26,1558030
2025-04-07,22082.56,22171.43,21989.26,22094.16,22094.31,1856101
2025-04-08,22164.41,22177.71,22041.43,22092.01,22096.7,2725690
2025-04-09,22379.36,22412.08,22288.79,22308.99,22306.41,2183620
2025-04-10,21950.92,22025.12,21816.36,21915.0,21915.48,2905839
2025-04-11,21849.25,21939.82,21753.08,21838.58,21836.27,2160793
2025-04-14,21822.1,21893.69,21800.88,21837.64,21835.47,2614737
2025-04-15,21836.84,21968.5,21743.96,21910.61,21909.06,1892964
2025-04-16,21984.58,22047.11,21896.29,22027.46,22028.57,2961275
2025-04-17,22068.23,22118.5,22003.54,22060.23,22057.84,1403119
2025-04-18,22055.34,22113.27,21991.17,22054.39,22060.67,1658380
2025-04-21,22165.44,22197.26,22069.4,22115.31,22110.84,2876763
2025-04-22,22002.6,22036.83,21986.75,22001.67,22000.74,2920964
2025-04-23,22290.71,22334.66,22236.11,22276.27,22274.08,2135564
2025-04-24,21947.07,21975.01,21864.81,21963.2,21970.44,1569936
2025-04-25,22544.03,22583.02,22492.26,22502.67,22503.66,1125991
